Experience,Domain,Project_count,Education,Project_score,Cert_score,Skill_score,Final_score
10.0,Machine Learning,8.0,3,4.96158,0,5.385164807134504,46.59039688844555
10.0,Data Science,1.0,4,2.86158,0,6.0,43.922035844981444
1.0,Cybersecurity,7.0,4,4.66158,0,4.58257569495584,35.92012476575692
7.0,Machine Learning,0.0,3,2.56158,0,5.385164807134504,36.04914150782193
4.0,Software Engineering,9.0,5,5.26158,0,4.898979485566356,43.834734284679
10.0,Cybersecurity,5.0,3,4.06158,0,4.58257569495584,41.42481092060101
4.0,Cybersecurity,9.0,4,5.26158,0,3.741657386773941,38.39903701173499
3.0,Machine Learning,7.0,4,4.66158,0,5.385164807134504,40.382739965867586
7.0,Cybersecurity,3.0,4,3.46158,0,2.8284271247461903,33.2420241815149
0.0,Machine Learning,1.0,4,2.86158,0,6.164414002968976,34.01012532519074
1.0,Software Engineering,7.0,5,4.66158,0,5.0,39.15931612656926
0.0,Cybersecurity,5.0,4,4.06158,0,3.741657386773941,30.52840932142318
0.0,Cybersecurity,9.0,4,5.26158,0,2.449489742783178,30.403028993502335
4.0,Software Engineering,10.0,3,5.56158,0,5.0,41.06228689430312
0.0,Machine Learning,5.0,4,4.06158,4,4.358898943540674,33.36079041528109
1.0,Cybersecurity,6.0,5,4.36158,0,2.449489742783178,30.660058225768477
10.0,Data Science,2.0,5,3.16158,0,4.0,40.9123702597996
3.0,Cybersecurity,6.0,3,4.36158,0,4.58257569495584,35.07246784317897
3.0,Data Science,10.0,4,5.56158,0,5.0990195135927845,42.316242287684055
10.0,Data Science,9.0,3,5.26158,0,5.0990195135927845,46.668585365106104
5.0,Software Engineering,4.0,3,3.76158,0,5.744562646538029,38.74669963869913
6.0,Machine Learning,10.0,3,5.56158,0,6.164414002968976,46.59903762839232
4.0,Data Science,8.0,4,4.96158,0,5.291502622129181,42.07234558886651
8.0,Machine Learning,0.0,4,2.56158,4,6.164414002968976,42.40246840261279
0.0,Machine Learning,10.0,3,5.56158,4,6.164414002968976,41.35903762839232
7.0,Machine Learning,10.0,3,5.56158,4,4.242640687119285,42.93394364688904
3.0,Cybersecurity,2.0,3,3.16158,0,3.741657386773941,28.86543855368932
1.0,Machine Learning,5.0,4,4.06158,0,4.358898943540674,33.40079041528109
10.0,Machine Learning,2.0,3,3.16158,0,5.291502622129181,40.74640405339879
10.0,Data Science,4.0,3,3.76158,0,4.0,38.76768410495551
4.0,Data Science,10.0,5,5.56158,0,4.0,42.09362564042323
1.0,Cybersecurity,10.0,3,5.56158,0,3.872983346207417,34.59655622171171
8.0,Data Science,4.0,4,3.76158,0,6.0,44.6250066127153
9.0,Machine Learning,4.0,3,3.76158,4,5.385164807134504,42.83976919813373
0.0,Cybersecurity,10.0,4,5.56158,0,3.872983346207417,35.55655622171171
7.0,Machine Learning,6.0,5,4.36158,0,4.358898943540674,42.56844733785904
7.0,Machine Learning,3.0,4,3.46158,0,4.242640687119285,37.440345188843374
5.0,Software Engineering,7.0,3,4.66158,0,5.0,39.319316126569255
7.0,Cybersecurity,0.0,5,2.56158,0,3.605551275463989,34.766071769471296
1.0,Data Science,8.0,4,4.96158,0,4.0,35.11831179526732
10.0,Software Engineering,9.0,4,5.26158,0,4.123105625617661,45.77142761875107
1.0,Cybersecurity,10.0,4,5.56158,0,2.6457513110645907,32.95332002946302
3.0,Machine Learning,10.0,4,5.56158,0,5.291502622129181,42.88765943402242
1.0,Data Science,8.0,4,4.96158,0,4.242640687119285,35.838629801733134
4.0,Data Science,6.0,4,4.36158,0,5.0990195135927845,39.645614597372244
5.0,Software Engineering,4.0,3,3.76158,0,4.0,33.567684104955504
4.0,Software Engineering,9.0,4,5.26158,0,5.744562646538029,44.3449842515889
8.0,Data Science,9.0,5,5.26158,0,4.242640687119285,46.04628672431109
1.0,Software Engineering,9.0,4,5.26158,0,4.898979485566356,38.714734284679
5.0,Machine Learning,1.0,3,2.86158,4,4.358898943540674,32.85016272496927
5.0,Machine Learning,9.0,5,5.26158,0,6.164414002968976,48.631380705814365
9.0,Cybersecurity,3.0,4,3.46158,0,4.58257569495584,40.529497075445114
1.0,Data Science,4.0,4,3.76158,0,5.291502622129181,35.2417178985547
9.0,Data Science,2.0,3,3.16158,0,5.0990195135927845,39.13498690706044
0.0,Data Science,7.0,3,4.66158,0,5.0990195135927845,34.41327151995019
1.0,Cybersecurity,4.0,3,3.76158,0,3.741657386773941,28.640752398845226
3.0,Software Engineering,3.0,3,3.46158,0,5.744562646538029,35.739042716121176
1.0,Cybersecurity,3.0,3,3.46158,0,4.58257569495584,30.20949707544511
2.0,Machine Learning,1.0,3,2.86158,0,4.47213595499958,29.06632505339249
6.0,Software Engineering,4.0,5,3.76158,0,4.123105625617661,38.9731430058613
0.0,Machine Learning,10.0,3,5.56158,4,4.358898943540674,35.99907502817086
8.0,Data Science,9.0,3,5.26158,0,6.0,47.26329122560507
9.0,Data Science,3.0,4,3.46158,0,5.291502622129181,42.634060975976745
9.0,Software Engineering,8.0,4,4.96158,0,5.744562646538029,48.61732732901094
10.0,Data Science,2.0,4,3.16158,0,6.0,44.849692767559404
1.0,Software Engineering,3.0,5,3.46158,0,5.0990195135927845,35.74264382963839
8.0,Software Engineering,1.0,3,2.86158,0,5.744562646538029,39.08372887096527
9.0,Machine Learning,4.0,4,3.76158,0,6.164414002968976,46.1530960929246
9.0,Cybersecurity,3.0,4,3.46158,0,4.58257569495584,40.529497075445114
1.0,Data Science,1.0,3,2.86158,0,6.0,32.562035844981445
8.0,Machine Learning,0.0,5,2.56158,4,5.385164807134504,42.08914150782192
0.0,Cybersecurity,7.0,4,4.66158,0,3.872983346207417,32.773585453977844
0.0,Data Science,6.0,4,4.36158,0,6.0,38.16032045787121
5.0,Software Engineering,6.0,4,4.36158,0,4.0,37.42299795011141
9.0,Machine Learning,4.0,3,3.76158,4,4.358898943540674,39.793133492703134
4.0,Software Engineering,8.0,3,4.96158,0,5.744562646538029,41.41732732901094
0.0,Data Science,0.0,4,2.56158,0,4.242640687119285,27.377374421109515
7.0,Cybersecurity,1.0,5,2.86158,0,4.58257569495584,38.59418323028921
1.0,Machine Learning,6.0,4,4.36158,0,4.358898943540674,34.32844733785903
6.0,Data Science,4.0,3,3.76158,0,6.0,40.545006612715305
7.0,Machine Learning,4.0,4,3.76158,0,5.385164807134504,41.75976919813373
1.0,Software Engineering,10.0,5,5.56158,0,4.123105625617661,39.33908454132902
9.0,Software Engineering,4.0,4,3.76158,0,4.242640687119285,40.44800211142132
10.0,Machine Learning,2.0,3,3.16158,0,5.291502622129181,40.74640405339879
0.0,Software Engineering,2.0,3,3.16158,0,5.0,29.4810315136795
8.0,Software Engineering,2.0,4,3.16158,0,5.0990195135927845,40.09498690706043
6.0,Data Science,10.0,4,5.56158,0,6.0,48.11094814818303
7.0,Machine Learning,7.0,3,4.66158,0,4.358898943540674,39.49610426043699
5.0,Software Engineering,10.0,5,5.56158,0,4.898979485566356,45.80239120725695
10.0,Cybersecurity,8.0,4,4.96158,0,4.58257569495584,46.207781688334876
4.0,Machine Learning,7.0,4,4.66158,0,4.358898943540674,38.37610426043699
4.0,Machine Learning,6.0,4,4.36158,0,5.385164807134504,40.49508304328963
5.0,Machine Learning,0.0,3,2.56158,0,5.385164807134504,33.969141507821924
0.0,Machine Learning,10.0,3,5.56158,4,4.358898943540674,35.99907502817086
9.0,Software Engineering,8.0,3,4.96158,0,5.0,44.40697304914722
1.0,Machine Learning,4.0,3,3.76158,0,6.164414002968976,35.8330960929246
4.0,Machine Learning,2.0,5,3.16158,4,6.164414002968976,42.09778224776869
6.0,Machine Learning,9.0,3,5.26158,0,6.164414002968976,45.671380705814364
6.0,Data Science,8.0,5,4.96158,0,4.242640687119285,43.03862980173314
6.0,Software Engineering,3.0,3,3.46158,0,4.898979485566356,36.34879274921128
1.0,Cybersecurity,3.0,4,3.46158,0,3.605551275463989,29.309042537205155
8.0,Cybersecurity,3.0,3,3.46158,0,3.741657386773941,34.99309547626728
2.0,Cybersecurity,3.0,4,3.46158,0,2.8284271247461903,28.042024181514904
8.0,Cybersecurity,7.0,5,4.66158,0,3.872983346207417,43.093585453977845
5.0,Software Engineering,1.0,3,2.86158,0,4.0,30.78471333722165
7.0,Data Science,6.0,3,4.36158,0,5.291502622129181,41.337031743710604
9.0,Machine Learning,0.0,3,2.56158,0,5.291502622129181,37.851090208242894
2.0,Data Science,2.0,3,3.16158,0,5.291502622129181,32.4264040533988
4.0,Data Science,6.0,3,4.36158,0,5.0990195135927845,37.645614597372244
7.0,Cybersecurity,3.0,4,3.46158,0,4.58257569495584,38.449497075445116
9.0,Software Engineering,0.0,3,2.56158,0,4.123105625617661,34.3825153155495
5.0,Data Science,4.0,3,3.76158,0,5.291502622129181,37.4017178985547
3.0,Data Science,1.0,4,2.86158,0,6.0,36.64203584498145
0.0,Machine Learning,3.0,3,3.46158,4,4.47213595499958,29.841638898548393
2.0,Software Engineering,2.0,4,3.16158,0,4.242640687119285,31.31268826626542
9.0,Machine Learning,9.0,5,5.26158,0,5.385164807134504,50.4780538110235
10.0,Cybersecurity,10.0,3,5.56158,0,4.58257569495584,46.06309553349078
5.0,Software Engineering,10.0,5,5.56158,0,5.0990195135927845,46.39624228768405
4.0,Software Engineering,9.0,4,5.26158,0,4.898979485566356,41.834734284679
5.0,Software Engineering,8.0,4,4.96158,0,5.744562646538029,44.45732732901094
6.0,Software Engineering,0.0,3,2.56158,0,4.123105625617661,31.262515315549493
4.0,Machine Learning,2.0,3,3.16158,0,6.164414002968976,37.09778224776869
7.0,Cybersecurity,3.0,5,3.46158,0,4.58257569495584,40.449497075445116
1.0,Software Engineering,9.0,5,5.26158,0,4.0,38.04596871784527
6.0,Software Engineering,10.0,4,5.56158,0,5.0990195135927845,45.43624228768406
9.0,Data Science,2.0,3,3.16158,0,4.0,35.8723702597996
5.0,Data Science,5.0,4,4.06158,0,6.0,42.43266353529326
3.0,Machine Learning,0.0,4,2.56158,4,4.358898943540674,31.842505802391326
8.0,Cybersecurity,5.0,3,4.06158,0,4.58257569495584,39.34481092060101
3.0,Machine Learning,0.0,3,2.56158,4,5.291502622129181,32.611090208242885
1.0,Machine Learning,4.0,3,3.76158,0,6.164414002968976,35.8330960929246
0.0,Software Engineering,3.0,3,3.46158,0,5.0,30.408688436257453
8.0,Cybersecurity,4.0,3,3.76158,0,4.58257569495584,38.41715399802306
1.0,Software Engineering,0.0,5,2.56158,0,5.744562646538029,34.87607194838732
6.0,Machine Learning,3.0,3,3.46158,4,6.164414002968976,41.10543917034665
7.0,Cybersecurity,0.0,3,2.56158,0,2.449489742783178,27.334116690300764
4.0,Cybersecurity,5.0,4,4.06158,0,4.58257569495584,37.18481092060102
10.0,Data Science,3.0,4,3.46158,0,5.0990195135927845,43.10264382963839
4.0,Data Science,7.0,4,4.66158,0,6.0,43.247977380449164
3.0,Cybersecurity,1.0,4,2.86158,0,4.58257569495584,32.43418323028921
3.0,Data Science,2.0,3,3.16158,0,5.0990195135927845,32.894986907060435
9.0,Cybersecurity,2.0,3,3.16158,0,4.58257569495584,37.601840152867155
5.0,Data Science,3.0,3,3.46158,0,6.0,38.57734969013735
10.0,Cybersecurity,0.0,4,2.56158,0,4.58257569495584,38.786526307711256
5.0,Machine Learning,5.0,3,4.06158,0,5.385164807134504,38.607426120711686
10.0,Machine Learning,8.0,4,4.96158,0,5.385164807134504,48.59039688844555
10.0,Data Science,1.0,5,2.86158,0,6.0,45.922035844981444
8.0,Data Science,4.0,5,3.76158,0,4.242640687119285,41.40800211142132
6.0,Machine Learning,0.0,3,2.56158,4,5.385164807134504,36.00914150782192
9.0,Data Science,2.0,3,3.16158,0,4.242640687119285,36.59268826626541
3.0,Cybersecurity,7.0,3,4.66158,0,3.872983346207417,33.89358545397784
6.0,Software Engineering,10.0,5,5.56158,0,4.898979485566356,46.84239120725695
7.0,Data Science,2.0,5,3.16158,0,6.0,43.7296927675594
7.0,Data Science,0.0,3,2.56158,0,6.0,37.874378922403494
5.0,Cybersecurity,8.0,4,4.96158,0,4.58257569495584,41.00778168833487
6.0,Cybersecurity,2.0,4,3.16158,0,4.58257569495584,36.481840152867164
6.0,Cybersecurity,5.0,3,4.06158,0,4.58257569495584,37.264810920601015
2.0,Machine Learning,1.0,5,2.86158,0,5.385164807134504,35.77679843039987
6.0,Cybersecurity,9.0,3,5.26158,0,3.872983346207417,38.86889929913376
2.0,Cybersecurity,1.0,4,2.86158,0,3.605551275463989,28.493728692049253
3.0,Data Science,9.0,5,5.26158,0,4.242640687119285,40.846286724311085
5.0,Data Science,8.0,4,4.96158,0,4.242640687119285,39.99862980173314
5.0,Cybersecurity,10.0,4,5.56158,0,3.605551275463989,39.96264099525083
1.0,Machine Learning,2.0,4,3.16158,0,5.291502622129181,33.38640405339879
7.0,Cybersecurity,10.0,4,5.56158,0,4.58257569495584,44.943095533490784
2.0,Data Science,3.0,5,3.46158,0,4.242640687119285,34.24034518884337
3.0,Machine Learning,6.0,4,4.36158,0,5.291502622129181,39.1770317437106
2.0,Cybersecurity,7.0,3,4.66158,0,3.741657386773941,32.46372316657908
9.0,Software Engineering,2.0,3,3.16158,0,5.744562646538029,41.05138579354322
7.0,Data Science,0.0,4,2.56158,0,4.242640687119285,34.65737442110951
8.0,Cybersecurity,1.0,4,2.86158,0,3.741657386773941,35.13778163111137
3.0,Data Science,6.0,3,4.36158,0,5.0990195135927845,36.60561459737224
3.0,Software Engineering,5.0,3,4.06158,0,4.898979485566356,35.084106594367185
9.0,Data Science,8.0,5,4.96158,0,4.0,45.43831179526732
6.0,Data Science,4.0,4,3.76158,0,6.0,42.545006612715305
9.0,Data Science,2.0,3,3.16158,0,6.0,41.8096927675594
1.0,Software Engineering,3.0,4,3.46158,0,4.123105625617661,30.84548608328335
8.0,Data Science,5.0,3,4.06158,0,6.0,43.552663535293256
3.0,Machine Learning,7.0,4,4.66158,0,4.47213595499958,37.672266588860204
8.0,Cybersecurity,4.0,4,3.76158,0,3.741657386773941,37.920752398845224
6.0,Software Engineering,7.0,5,4.66158,0,4.123105625617661,41.75611377359515
1.0,Data Science,7.0,5,4.66158,0,6.0,42.12797738044916
0.0,Machine Learning,7.0,3,4.66158,0,4.358898943540674,32.21610426043699
5.0,Data Science,3.0,5,3.46158,0,5.0990195135927845,39.902643829638386
7.0,Software Engineering,3.0,4,3.46158,0,5.744562646538029,41.89904271612118
5.0,Software Engineering,7.0,4,4.66158,0,5.744562646538029,43.52967040643298
0.0,Machine Learning,7.0,3,4.66158,4,4.358898943540674,33.216104260436985
0.0,Machine Learning,3.0,4,3.46158,4,5.291502622129181,34.274060975976745
3.0,Data Science,5.0,4,4.06158,0,6.0,40.35266353529326
1.0,Software Engineering,5.0,5,4.06158,0,5.744562646538029,39.514356561277076
8.0,Cybersecurity,8.0,3,4.96158,0,4.58257569495584,42.12778168833488
1.0,Cybersecurity,3.0,5,3.46158,0,3.872983346207417,32.10295776366604
3.0,Machine Learning,10.0,4,5.56158,4,5.291502622129181,43.88765943402242
10.0,Data Science,6.0,5,4.36158,0,5.0990195135927845,47.88561459737224
9.0,Machine Learning,5.0,3,4.06158,0,6.164414002968976,45.08075301550255
7.0,Machine Learning,6.0,3,4.36158,0,4.358898943540674,38.56844733785904
8.0,Data Science,10.0,5,5.56158,0,4.242640687119285,46.97394364688904
1.0,Software Engineering,7.0,5,4.66158,0,5.0,39.15931612656926
3.0,Cybersecurity,0.0,4,2.56158,0,4.58257569495584,31.506526307711255
1.0,Machine Learning,4.0,3,3.76158,4,4.358898943540674,31.473133492703138
8.0,Cybersecurity,8.0,4,4.96158,0,4.58257569495584,44.12778168833488
6.0,Machine Learning,1.0,5,2.86158,0,4.358898943540674,36.89016272496928
8.0,Cybersecurity,0.0,3,2.56158,0,3.741657386773941,32.210124708533414
1.0,Machine Learning,7.0,5,4.66158,4,5.291502622129181,41.024688666288554
9.0,Software Engineering,3.0,4,3.46158,0,4.242640687119285,39.52034518884337
10.0,Machine Learning,4.0,3,3.76158,0,6.164414002968976,45.1930960929246
7.0,Cybersecurity,10.0,4,5.56158,0,4.58257569495584,44.943095533490784
2.0,Software Engineering,5.0,3,4.06158,0,4.123105625617661,31.740799928439255
1.0,Cybersecurity,6.0,4,4.36158,0,4.58257569495584,34.992467843178964
2.0,Machine Learning,4.0,4,3.76158,0,5.291502622129181,36.281717898554696
3.0,Data Science,4.0,3,3.76158,0,5.291502622129181,35.321717898554695
7.0,Cybersecurity,3.0,3,3.46158,0,3.872983346207417,34.34295776366604
2.0,Software Engineering,1.0,4,2.86158,0,4.0,29.66471333722165
1.0,Software Engineering,7.0,3,4.66158,0,4.0,32.190654872689365
3.0,Machine Learning,3.0,3,3.46158,0,5.291502622129181,34.39406097597675
8.0,Cybersecurity,3.0,4,3.46158,0,4.58257569495584,39.48949707544511
7.0,Data Science,10.0,3,5.56158,0,6.0,47.150948148183026
8.0,Machine Learning,8.0,4,4.96158,0,6.164414002968976,48.82372378323641
1.0,Cybersecurity,10.0,3,5.56158,0,4.58257569495584,36.70309553349078
10.0,Machine Learning,2.0,5,3.16158,0,6.164414002968976,47.3377822477687
9.0,Cybersecurity,0.0,5,2.56158,0,3.605551275463989,36.846071769471294
1.0,Machine Learning,1.0,4,2.86158,0,4.242640687119285,29.345031343687467
6.0,Machine Learning,4.0,3,3.76158,0,6.164414002968976,41.033096092924595
8.0,Software Engineering,4.0,4,3.76158,0,4.0,38.68768410495551
4.0,Cybersecurity,1.0,5,2.86158,0,4.58257569495584,35.474183230289206
1.0,Cybersecurity,6.0,3,4.36158,0,2.449489742783178,26.660058225768477
2.0,Data Science,4.0,3,3.76158,0,5.291502622129181,34.281717898554696
7.0,Cybersecurity,6.0,3,4.36158,0,3.872983346207417,37.12592853139989
3.0,Machine Learning,8.0,5,4.96158,4,4.358898943540674,41.26376118301495
2.0,Cybersecurity,10.0,4,5.56158,0,3.741657386773941,37.246693934312944
1.0,Machine Learning,1.0,4,2.86158,0,5.291502622129181,32.458747130820846
0.0,Software Engineering,8.0,4,4.96158,0,5.744562646538029,39.25732732901094
3.0,Data Science,4.0,4,3.76158,0,4.242640687119285,34.20800211142132
9.0,Software Engineering,5.0,4,4.06158,0,5.744562646538029,45.834356561277076
0.0,Cybersecurity,7.0,4,4.66158,0,3.605551275463989,31.979670227516966
7.0,Software Engineering,0.0,3,2.56158,0,3.872983346207417,31.55998699593218
1.0,Cybersecurity,8.0,3,4.96158,0,4.58257569495584,34.84778168833488
5.0,Data Science,3.0,3,3.46158,0,4.242640687119285,33.360345188843375
8.0,Machine Learning,5.0,5,4.06158,0,6.164414002968976,48.04075301550255
1.0,Data Science,4.0,4,3.76158,0,4.242640687119285,32.128002111421324
10.0,Cybersecurity,0.0,4,2.56158,0,3.872983346207417,36.67998699593218
5.0,Data Science,7.0,3,4.66158,0,6.0,42.287977380449156
8.0,Software Engineering,4.0,3,3.76158,0,4.898979485566356,39.35644967178923
0.0,Cybersecurity,6.0,3,4.36158,0,2.6457513110645907,26.202692339151213
2.0,Machine Learning,8.0,3,4.96158,4,4.358898943540674,36.22376118301495
2.0,Data Science,8.0,3,4.96158,0,5.0990195135927845,37.42092844252815
7.0,Cybersecurity,4.0,4,3.76158,0,4.58257569495584,39.37715399802306
5.0,Data Science,4.0,3,3.76158,0,5.291502622129181,37.4017178985547
4.0,Software Engineering,5.0,4,4.06158,0,5.744562646538029,40.63435656127708
2.0,Software Engineering,8.0,4,4.96158,0,4.123105625617661,36.523770696173116
9.0,Machine Learning,10.0,3,5.56158,0,6.164414002968976,49.71903762839232
7.0,Machine Learning,9.0,4,5.26158,0,6.164414002968976,48.71138070581436
8.0,Machine Learning,1.0,5,2.86158,0,5.385164807134504,42.01679843039988
2.0,Data Science,2.0,3,3.16158,0,4.242640687119285,29.31268826626542
7.0,Software Engineering,5.0,4,4.06158,0,5.744562646538029,43.75435656127708
6.0,Machine Learning,4.0,3,3.76158,4,5.385164807134504,39.71976919813373
9.0,Software Engineering,1.0,4,2.86158,0,5.0990195135927845,40.20732998448248
8.0,Cybersecurity,10.0,3,5.56158,0,3.605551275463989,41.08264099525083
0.0,Data Science,2.0,3,3.16158,0,5.291502622129181,30.346404053398793
8.0,Machine Learning,6.0,3,4.36158,0,5.385164807134504,42.655083043289636
7.0,Machine Learning,2.0,3,3.16158,0,4.358898943540674,34.85781964754723
1.0,Cybersecurity,10.0,5,5.56158,0,3.872983346207417,38.59655622171171
10.0,Machine Learning,2.0,3,3.16158,0,4.358898943540674,37.977819647547236
0.0,Machine Learning,1.0,4,2.86158,0,4.358898943540674,28.650162724969277
1.0,Machine Learning,0.0,4,2.56158,0,5.291502622129181,31.53109020824289
7.0,Machine Learning,1.0,4,2.86158,0,4.358898943540674,35.93016272496928
0.0,Cybersecurity,5.0,4,4.06158,0,2.8284271247461903,27.817338026670807
10.0,Software Engineering,5.0,3,4.06158,0,3.872983346207417,39.31827160882194
8.0,Data Science,8.0,4,4.96158,0,6.0,48.33563430302712
9.0,Cybersecurity,4.0,5,3.76158,0,4.58257569495584,43.45715399802306
0.0,Data Science,7.0,5,4.66158,0,5.0990195135927845,38.41327151995019
0.0,Cybersecurity,8.0,3,4.96158,0,3.741657386773941,31.311380089157034
2.0,Cybersecurity,1.0,5,2.86158,0,3.605551275463989,30.493728692049253
8.0,Machine Learning,3.0,4,3.46158,0,5.291502622129181,41.59406097597675
3.0,Cybersecurity,7.0,4,4.66158,0,2.6457513110645907,32.25034926172916
7.0,Machine Learning,0.0,5,2.56158,4,4.358898943540674,38.002505802391326
3.0,Data Science,1.0,4,2.86158,0,5.291502622129181,34.538747130820845
4.0,Software Engineering,7.0,3,4.66158,0,5.744562646538029,40.489670406432985
6.0,Cybersecurity,8.0,4,4.96158,0,3.741657386773941,39.551380089157036
0.0,Data Science,1.0,5,2.86158,0,4.47213595499958,30.986325053392488
10.0,Software Engineering,5.0,4,4.06158,0,4.898979485566356,44.36410659436718
9.0,Machine Learning,1.0,4,2.86158,0,6.164414002968976,43.37012532519074
0.0,Machine Learning,9.0,4,5.26158,4,6.164414002968976,42.43138070581436
3.0,Machine Learning,3.0,3,3.46158,0,4.358898943540674,31.625476570125183
7.0,Data Science,2.0,3,3.16158,0,4.242640687119285,34.512688266265414
2.0,Cybersecurity,5.0,5,4.06158,0,3.741657386773941,34.608409321423174
2.0,Software Engineering,1.0,4,2.86158,0,5.744562646538029,34.84372887096527
10.0,Data Science,8.0,3,4.96158,0,5.0990195135927845,45.74092844252815
2.0,Data Science,7.0,4,4.66158,0,6.0,41.16797738044916
6.0,Cybersecurity,4.0,4,3.76158,0,2.8284271247461903,33.12968110409285
